date,ticker,bucket,threshold_low,threshold_high,direction,market_prob,actual_outcome,bid_price,ask_price,volume,actual_tmax
2025-01-04,KXHIGHNY-25JAN04-T35to44,35-44F,35.0,45.0,between,0.15722637087343513,0,0.1316297513786855,0.18282299036818478,68,29.203732981685835
2025-01-04,KXHIGHNY-25JAN04-T45to54,45-54F,45.0,55.0,between,0.13655271728805946,0,0.1023867768338597,0.1707186577422592,50,29.203732981685835
2025-01-04,KXHIGHNY-25JAN04-T55to64,55-64F,55.0,65.0,between,0.046971016865962084,0,0.01871122883930319,0.07523080489262098,38,29.203732981685835
2025-01-04,KXHIGHNY-25JAN04-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.04649870677327994,56,29.203732981685835
2025-01-04,KXHIGHNY-25JAN04-A75,Above 75F,75.0,,above,0.02,0,0.01,0.05406147251286844,49,29.203732981685835
2025-01-05,KXHIGHNY-25JAN05-B25,Below 25F,,25.0,below,0.10904393553160602,0,0.08596682825201715,0.13212104281119488,92,28.0079675780775
2025-01-05,KXHIGHNY-25JAN05-T25to34,25-34F,25.0,35.0,between,0.6435469343449627,1,0.6193862254224237,0.6677076432675016,139,28.0079675780775
2025-01-05,KXHIGHNY-25JAN05-T35to44,35-44F,35.0,45.0,between,0.07316299860705025,0,0.04348250261024747,0.10284349460385303,75,28.0079675780775
2025-01-05,KXHIGHNY-25JAN05-T45to54,45-54F,45.0,55.0,between,0.031101677253390178,0,0.01,0.06487149835709644,45,28.0079675780775
2025-01-05,KXHIGHNY-25JAN05-T55to64,55-64F,55.0,65.0,between,0.024323821923070074,0,0.01,0.05765292890333194,67,28.0079675780775
2025-01-05,KXHIGHNY-25JAN05-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.047328166306757985,62,28.0079675780775
2025-01-05,KXHIGHNY-25JAN05-A75,Above 75F,75.0,,above,0.02,0,0.01,0.05473155954047092,68,28.0079675780775
2025-01-06,KXHIGHNY-25JAN06-B25,Below 25F,,25.0,below,0.12503282192323587,0,0.09543376864869615,0.15463187519777558,50,42.297271335784224
2025-01-06,KXHIGHNY-25JAN06-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.047452450114106884,53,42.297271335784224
2025-01-06,KXHIGHNY-25JAN06-T35to44,35-44F,35.0,45.0,between,0.273798973175615,1,0.2476684166382315,0.2999295297129986,230,42.297271335784224
2025-01-06,KXHIGHNY-25JAN06-T45to54,45-54F,45.0,55.0,between,0.5688944722795887,0,0.5417631151030631,0.5960258294561143,218,42.297271335784224
2025-01-06,KXHIGHNY-25JAN06-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.05024085861146568,56,42.297271335784224
2025-01-06,KXHIGHNY-25JAN06-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.05163678278221524,48,42.297271335784224
2025-01-06,KXHIGHNY-25JAN06-A75,Above 75F,75.0,,above,0.02,0,0.01,0.047321928303804384,53,42.297271335784224
2025-01-07,KXHIGHNY-25JAN07-B25,Below 25F,,25.0,below,0.40206605319693495,1,0.380476244252118,0.4236558621417519,211,24.637924627113733
2025-01-07,KXHIGHNY-25JAN07-T25to34,25-34F,25.0,35.0,between,0.6641124280093196,0,0.6369204395411171,0.691304416477522,208,24.637924627113733
2025-01-07,KXHIGHNY-25JAN07-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.05135413335028727,56,24.637924627113733
2025-01-07,KXHIGHNY-25JAN07-T45to54,45-54F,45.0,55.0,between,0.07913821038317595,0,0.04529200634794285,0.11298441441840905,61,24.637924627113733
2025-01-07,KXHIGHNY-25JAN07-T55to64,55-64F,55.0,65.0,between,0.04404205110865076,0,0.010145575926716902,0.07793852629058462,52,24.637924627113733
2025-01-07,KXHIGHNY-25JAN07-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.053117309383945044,42,24.637924627113733
2025-01-07,KXHIGHNY-25JAN07-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04492635942147208,47,24.637924627113733
2025-01-08,KXHIGHNY-25JAN08-B25,Below 25F,,25.0,below,0.8955804894702242,0,0.8682499836438216,0.9229109952966268,123,25.82723287744816
2025-01-08,KXHIGHNY-25JAN08-T25to34,25-34F,25.0,35.0,between,0.1195370906890981,1,0.09226193474800423,0.14681224663019196,144,25.82723287744816
2025-01-08,KXHIGHNY-25JAN08-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.05420135995532156,47,25.82723287744816
2025-01-08,KXHIGHNY-25JAN08-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.04517010605256616,41,25.82723287744816
2025-01-08,KXHIGHNY-25JAN08-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.05363862102937045,69,25.82723287744816
2025-01-08,KXHIGHNY-25JAN08-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.05466922586748571,41,25.82723287744816
2025-01-08,KXHIGHNY-25JAN08-A75,Above 75F,75.0,,above,0.04434879359818515,0,0.011682218362063714,0.0770153688343066,47,25.82723287744816
2025-01-09,KXHIGHNY-25JAN09-B25,Below 25F,,25.0,below,0.02,0,0.01,0.04579129143717246,46,38.15590865701335
2025-01-09,KXHIGHNY-25JAN09-T25to34,25-34F,25.0,35.0,between,0.5474682145231945,0,0.5231409404681505,0.5717954885782385,185,38.15590865701335
2025-01-09,KXHIGHNY-25JAN09-T35to44,35-44F,35.0,45.0,between,0.4536368043445421,1,0.4294283472744508,0.47784526141463346,182,38.15590865701335
2025-01-09,KXHIGHNY-25JAN09-T45to54,45-54F,45.0,55.0,between,0.1172194345341287,0,0.08284711239856718,0.15159175666969021,54,38.15590865701335
2025-01-09,KXHIGHNY-25JAN09-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.05441880226936335,42,38.15590865701335
2025-01-09,KXHIGHNY-25JAN09-T65to74,65-74F,65.0,75.0,between,0.05215645046212582,0,0.020221441150661074,0.08409145977359056,51,38.15590865701335
2025-01-09,KXHIGHNY-25JAN09-A75,Above 75F,75.0,,above,0.03205309939391032,0,0.01,0.06385774205788143,45,38.15590865701335
2025-01-10,KXHIGHNY-25JAN10-B25,Below 25F,,25.0,below,0.27188594376168046,0,0.24161652969883263,0.3021553578245283,114,32.32003591134516
2025-01-10,KXHIGHNY-25JAN10-T25to34,25-34F,25.0,35.0,between,0.8899907671777749,1,0.8596266704718584,0.9203548638836915,152,32.32003591134516
2025-01-10,KXHIGHNY-25JAN10-T35to44,35-44F,35.0,45.0,between,0.15256354293951727,0,0.12130812586566175,0.18381896001337278,89,32.32003591134516
2025-01-10,KXHIGHNY-25JAN10-T45to54,45-54F,45.0,55.0,between,0.03479561526802771,0,0.01,0.06879844484953171,59,32.32003591134516
2025-01-10,KXHIGHNY-25JAN10-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.047366733633256816,60,32.32003591134516
2025-01-10,KXHIGHNY-25JAN10-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.050391226864616195,56,32.32003591134516
2025-01-10,KXHIGHNY-25JAN10-A75,Above 75F,75.0,,above,0.02,0,0.01,0.053954491365981086,72,32.32003591134516
2025-01-11,KXHIGHNY-25JAN11-B25,Below 25F,,25.0,below,0.13894030803019447,0,0.10927996177398674,0.1686006542864022,89,29.509140371489217
2025-01-11,KXHIGHNY-25JAN11-T25to34,25-34F,25.0,35.0,between,0.7960381522124285,1,0.7685869564919143,0.8234893479329426,123,29.509140371489217
2025-01-11,KXHIGHNY-25JAN11-T35to44,35-44F,35.0,45.0,between,0.1742414667655274,0,0.14779903230144942,0.2006839012296054,67,29.509140371489217
2025-01-11,KXHIGHNY-25JAN11-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.05236470247313839,56,29.509140371489217
2025-01-11,KXHIGHNY-25JAN11-T55to64,55-64F,55.0,65.0,between,0.054479233195718645,0,0.01966179631076874,0.08929667008066855,55,29.509140371489217
2025-01-11,KXHIGHNY-25JAN11-T65to74,65-74F,65.0,75.0,between,0.15278917795726882,0,0.11830417902636042,0.1872741768881772,46,29.509140371489217
2025-01-11,KXHIGHNY-25JAN11-A75,Above 75F,75.0,,above,0.1023398231112021,0,0.07477471862258082,0.12990492759982336,42,29.509140371489217
2025-01-12,KXHIGHNY-25JAN12-B25,Below 25F,,25.0,below,0.1227817431174221,0,0.09706289398594659,0.1485005922488976,55,31.50398732374352
2025-01-12,KXHIGHNY-25JAN12-T25to34,25-34F,25.0,35.0,between,0.6990777455348356,1,0.6754060642591443,0.7227494268105269,235,31.50398732374352
2025-01-12,KXHIGHNY-25JAN12-T35to44,35-44F,35.0,45.0,between,0.5548322496163638,0,0.5337876701512216,0.575876829081506,237,31.50398732374352
2025-01-12,KXHIGHNY-25JAN12-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.048876753543863935,42,31.50398732374352
2025-01-12,KXHIGHNY-25JAN12-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.04599182818047243,39,31.50398732374352
2025-01-12,KXHIGHNY-25JAN12-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.045289622090522993,62,31.50398732374352
2025-01-12,KXHIGHNY-25JAN12-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04787730125092621,57,31.50398732374352
2025-01-13,KXHIGHNY-25JAN13-B25,Below 25F,,25.0,below,0.043510210755784665,0,0.016655087191572857,0.07036533431999648,57,43.65888696062151
2025-01-13,KXHIGHNY-25JAN13-T25to34,25-34F,25.0,35.0,between,0.08743317561309656,0,0.06020686674381624,0.11465948448237688,100,43.65888696062151
2025-01-13,KXHIGHNY-25JAN13-T35to44,35-44F,35.0,45.0,between,0.7135401178058255,1,0.6916704400305679,0.7354097955810831,152,43.65888696062151
2025-01-13,KXHIGHNY-25JAN13-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.04830689322197483,130,43.65888696062151
2025-01-13,KXHIGHNY-25JAN13-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.05032744095179717,60,43.65888696062151
2025-01-13,KXHIGHNY-25JAN13-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.050567302207980225,53,43.65888696062151
2025-01-13,KXHIGHNY-25JAN13-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04957600303938539,66,43.65888696062151
2025-01-14,KXHIGHNY-25JAN14-B25,Below 25F,,25.0,below,0.02,0,0.01,0.04980762389126492,53,37.71754862892307
2025-01-14,KXHIGHNY-25JAN14-T25to34,25-34F,25.0,35.0,between,0.055218208682601244,0,0.026157809567133802,0.08427860779806869,71,37.71754862892307
2025-01-14,KXHIGHNY-25JAN14-T35to44,35-44F,35.0,45.0,between,0.6201177540448553,1,0.5979776127503322,0.6422578953393783,186,37.71754862892307
2025-01-14,KXHIGHNY-25JAN14-T45to54,45-54F,45.0,55.0,between,0.25137527050363007,0,0.22388885801276523,0.2788616829944949,143,37.71754862892307
2025-01-14,KXHIGHNY-25JAN14-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.053887967906794815,54,37.71754862892307
2025-01-14,KXHIGHNY-25JAN14-T65to74,65-74F,65.0,75.0,between,0.06768133542408526,0,0.03935458312349438,0.09600808772467614,59,37.71754862892307
2025-01-14,KXHIGHNY-25JAN14-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04522022118337295,43,37.71754862892307
2025-01-15,KXHIGHNY-25JAN15-B25,Below 25F,,25.0,below,0.02,0,0.01,0.05136263947905839,49,34.88075440796688
2025-01-15,KXHIGHNY-25JAN15-T25to34,25-34F,25.0,35.0,between,0.5878667150800855,1,0.5684491478503639,0.607284282309807,218,34.88075440796688
2025-01-15,KXHIGHNY-25JAN15-T35to44,35-44F,35.0,45.0,between,0.43943832960688606,0,0.41154453453552786,0.46733212467824425,207,34.88075440796688
2025-01-15,KXHIGHNY-25JAN15-T45to54,45-54F,45.0,55.0,between,0.029054804760806047,0,0.01,0.05810352902306954,51,34.88075440796688
2025-01-15,KXHIGHNY-25JAN15-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.050300826126440414,63,34.88075440796688
2025-01-15,KXHIGHNY-25JAN15-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.04607284203855176,52,34.88075440796688
2025-01-15,KXHIGHNY-25JAN15-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04809421254132738,44,34.88075440796688
2025-01-16,KXHIGHNY-25JAN16-B25,Below 25F,,25.0,below,0.022731971261454494,0,0.01,0.05359023329625251,85,32.96032338305641
2025-01-16,KXHIGHNY-25JAN16-T25to34,25-34F,25.0,35.0,between,0.6226057524946619,1,0.5923934430169879,0.6528180619723358,150,32.96032338305641
2025-01-16,KXHIGHNY-25JAN16-T35to44,35-44F,35.0,45.0,between,0.1387708961946801,0,0.10744622265141462,0.1700955697379456,125,32.96032338305641
2025-01-16,KXHIGHNY-25JAN16-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.04715781141387042,52,32.96032338305641
2025-01-16,KXHIGHNY-25JAN16-T55to64,55-64F,55.0,65.0,between,0.08462564758204785,0,0.051869631524636375,0.11738166363945933,50,32.96032338305641
2025-01-16,KXHIGHNY-25JAN16-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.052479664064249726,40,32.96032338305641
2025-01-16,KXHIGHNY-25JAN16-A75,Above 75F,75.0,,above,0.04898738992227247,0,0.0210874725708772,0.07688730727366774,62,32.96032338305641
2025-01-17,KXHIGHNY-25JAN17-B25,Below 25F,,25.0,below,0.02,0,0.01,0.054651876435305544,57,49.525050119266254
2025-01-17,KXHIGHNY-25JAN17-T25to34,25-34F,25.0,35.0,between,0.09566443050879139,0,0.060992262853494274,0.13033659816408852,56,49.525050119266254
2025-01-17,KXHIGHNY-25JAN17-T35to44,35-44F,35.0,45.0,between,0.061936196244128605,0,0.03486981541286496,0.08900257707539225,98,49.525050119266254
2025-01-17,KXHIGHNY-25JAN17-T45to54,45-54F,45.0,55.0,between,0.9235308318481416,1,0.8975360814797712,0.949525582216512,146,49.525050119266254
2025-01-17,KXHIGHNY-25JAN17-T55to64,55-64F,55.0,65.0,between,0.12049632391028713,0,0.09641721956758437,0.14457542825298988,97,49.525050119266254
2025-01-17,KXHIGHNY-25JAN17-T65to74,65-74F,65.0,75.0,between,0.0642444743047369,0,0.033460974093509815,0.09502797451596398,44,49.525050119266254
2025-01-17,KXHIGHNY-25JAN17-A75,Above 75F,75.0,,above,0.12122900705398518,0,0.09320213513731236,0.149255878970658,62,49.525050119266254
2025-01-18,KXHIGHNY-25JAN18-B25,Below 25F,,25.0,below,0.02,0,0.01,0.049447772106797266,49,60.99050512499557
2025-01-18,KXHIGHNY-25JAN18-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.04530844411951937,41,60.99050512499557
2025-01-18,KXHIGHNY-25JAN18-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.04513889698491995,47,60.99050512499557
2025-01-18,KXHIGHNY-25JAN18-T45to54,45-54F,45.0,55.0,between,0.10548445664506031,0,0.07831251582269169,0.13265639746742894,70,60.99050512499557
2025-01-18,KXHIGHNY-25JAN18-T55to64,55-64F,55.0,65.0,between,0.6480929896560372,1,0.6230748105149279,0.6731111687971466,187,60.99050512499557
2025-01-18,KXHIGHNY-25JAN18-T65to74,65-74F,65.0,75.0,between,0.14452909437870562,0,0.11591013580670012,0.17314805295071112,160,60.99050512499557
2025-01-18,KXHIGHNY-25JAN18-A75,Above 75F,75.0,,above,0.10025262544680452,0,0.0677946952704315,0.13271055562317755,52,60.99050512499557
2025-01-19,KXHIGHNY-25JAN19-B25,Below 25F,,25.0,below,0.02,0,0.01,0.04951845983379484,48,60.993851176809315
2025-01-19,KXHIGHNY-25JAN19-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.05202334166785115,38,60.993851176809315
2025-01-19,KXHIGHNY-25JAN19-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.0532217385034013,57,60.993851176809315
2025-01-19,KXHIGHNY-25JAN19-T45to54,45-54F,45.0,55.0,between,0.13088397275639688,0,0.09981012477862682,0.16195782073416692,119,60.993851176809315
2025-01-19,KXHIGHNY-25JAN19-T55to64,55-64F,55.0,65.0,between,0.7117494579721795,1,0.681749309574094,0.741749606370265,157,60.993851176809315
2025-01-19,KXHIGHNY-25JAN19-T65to74,65-74F,65.0,75.0,between,0.020751418452506033,0,0.01,0.04491153863729174,81,60.993851176809315
2025-01-19,KXHIGHNY-25JAN19-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04494890212344514,38,60.993851176809315
2025-01-20,KXHIGHNY-25JAN20-B25,Below 25F,,25.0,below,0.02,0,0.01,0.05194447792046045,55,56.80519816936957
2025-01-20,KXHIGHNY-25JAN20-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.046329939886415525,45,56.80519816936957
2025-01-20,KXHIGHNY-25JAN20-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.052133378917553375,75,56.80519816936957
2025-01-20,KXHIGHNY-25JAN20-T45to54,45-54F,45.0,55.0,between,0.6563861593660218,0,0.6274713470260173,0.6853009717060264,135,56.80519816936957
2025-01-20,KXHIGHNY-25JAN20-T55to64,55-64F,55.0,65.0,between,0.15236517139627107,1,0.12462389388576617,0.18010644890677596,112,56.80519816936957
2025-01-20,KXHIGHNY-25JAN20-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.04623201164860236,60,56.80519816936957
2025-01-20,KXHIGHNY-25JAN20-A75,Above 75F,75.0,,above,0.02,0,0.01,0.05375539329325568,46,56.80519816936957
2025-01-21,KXHIGHNY-25JAN21-B25,Below 25F,,25.0,below,0.028270545807658767,0,0.01,0.05408449331062752,47,56.255209768862905
2025-01-21,KXHIGHNY-25JAN21-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.04778272488749412,58,56.255209768862905
2025-01-21,KXHIGHNY-25JAN21-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.045104067064903317,57,56.255209768862905
2025-01-21,KXHIGHNY-25JAN21-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.04879886144806382,70,56.255209768862905
2025-01-21,KXHIGHNY-25JAN21-T55to64,55-64F,55.0,65.0,between,0.816536699539756,1,0.787206223861243,0.8458671752182692,111,56.255209768862905
2025-01-21,KXHIGHNY-25JAN21-T65to74,65-74F,65.0,75.0,between,0.060770634406980197,0,0.0343774704294578,0.08716379838450258,73,56.255209768862905
2025-01-21,KXHIGHNY-25JAN21-A75,Above 75F,75.0,,above,0.02,0,0.01,0.04524663375888468,60,56.255209768862905
2025-01-22,KXHIGHNY-25JAN22-B25,Below 25F,,25.0,below,0.02,0,0.01,0.04613866784366848,42,60.9802821851509
2025-01-22,KXHIGHNY-25JAN22-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.048668897839387305,46,60.9802821851509
2025-01-22,KXHIGHNY-25JAN22-T35to44,35-44F,35.0,45.0,between,0.02,0,0.01,0.05340463045283485,56,60.9802821851509
2025-01-22,KXHIGHNY-25JAN22-T45to54,45-54F,45.0,55.0,between,0.23519668361900078,0,0.2114269095811159,0.2589664576568857,156,60.9802821851509
2025-01-22,KXHIGHNY-25JAN22-T55to64,55-64F,55.0,65.0,between,0.7693081432429063,1,0.7457400296826063,0.7928762568032063,190,60.9802821851509
2025-01-22,KXHIGHNY-25JAN22-T65to74,65-74F,65.0,75.0,between,0.042031698817048414,0,0.016903215955887674,0.06716018167820915,77,60.9802821851509
2025-01-22,KXHIGHNY-25JAN22-A75,Above 75F,75.0,,above,0.02,0,0.01,0.047388344211414996,57,60.9802821851509
2025-01-23,KXHIGHNY-25JAN23-B25,Below 25F,,25.0,below,0.17155365844996728,0,0.14001538834052266,0.2030919285594119,62,47.82843640023221
2025-01-23,KXHIGHNY-25JAN23-T25to34,25-34F,25.0,35.0,between,0.02,0,0.01,0.051253904278371606,35,47.82843640023221
2025-01-23,KXHIGHNY-25JAN23-T35to44,35-44F,35.0,45.0,between,0.049004894613972755,0,0.017254751525836082,0.08075503770210943,75,47.82843640023221
2025-01-23,KXHIGHNY-25JAN23-T45to54,45-54F,45.0,55.0,between,0.7807413739035904,1,0.7555401644186527,0.8059425833885282,166,47.82843640023221
2025-01-23,KXHIGHNY-25JAN23-T55to64,55-64F,55.0,65.0,between,0.16621874056282038,0,0.13759528237924606,0.1948421987463947,124,47.82843640023221
2025-01-23,KXHIGHNY-25JAN23-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.04977778315884579,53,47.82843640023221
2025-01-23,KXHIGHNY-25JAN23-A75,Above 75F,75.0,,above,0.03579437166194648,0,0.01,0.06966660811068365,39,47.82843640023221
2025-01-24,KXHIGHNY-25JAN24-B25,Below 25F,,25.0,below,0.02,0,0.01,0.04942249685670909,53,52.945553890919555
2025-01-24,KXHIGHNY-25JAN24-T25to34,25-34F,25.0,35.0,between,0.026475752533141574,0,0.01,0.05412439445525864,51,52.945553890919555
2025-01-24,KXHIGHNY-25JAN24-T35to44,35-44F,35.0,45.0,between,0.03348827017962505,0,0.01,0.06524440875548887,64,52.945553890919555
2025-01-24,KXHIGHNY-25JAN24-T45to54,45-54F,45.0,55.0,between,0.6241171232428534,1,0.603348929732943,0.6448853167527638,234,52.945553890919555
2025-01-24,KXHIGHNY-25JAN24-T55to64,55-64F,55.0,65.0,between,0.43001526428378245,0,0.4023114504822209,0.457719078085344,234,52.945553890919555
2025-01-24,KXHIGHNY-25JAN24-T65to74,65-74F,65.0,75.0,between,0.05831533722585236,0,0.031179049103296348,0.08545162534840837,52,52.945553890919555
2025-01-24,KXHIGHNY-25JAN24-A75,Above 75F,75.0,,above,0.02,0,0.01,0.051158518122345786,49,52.945553890919555
2025-01-25,KXHIGHNY-25JAN25-B25,Below 25F,,25.0,below,0.0602073575685895,0,0.026610796154510383,0.09380391898266861,43,40.04681515430214
2025-01-25,KXHIGHNY-25JAN25-T25to34,25-34F,25.0,35.0,between,0.03722485575676082,0,0.011613387164992616,0.06283632434852902,85,40.04681515430214
2025-01-25,KXHIGHNY-25JAN25-T35to44,35-44F,35.0,45.0,between,0.8645973675635428,1,0.8388875534123996,0.8903071817146859,191,40.04681515430214
2025-01-25,KXHIGHNY-25JAN25-T45to54,45-54F,45.0,55.0,between,0.363550592664495,0,0.3368262014085785,0.39027498392041154,161,40.04681515430214
2025-01-25,KXHIGHNY-25JAN25-T55to64,55-64F,55.0,65.0,between,0.02,0,0.01,0.046281192205369096,47,40.04681515430214
2025-01-25,KXHIGHNY-25JAN25-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.04498116622855253,61,40.04681515430214
2025-01-25,KXHIGHNY-25JAN25-A75,Above 75F,75.0,,above,0.18430467782346027,0,0.15808843646498172,0.21052091918193883,53,40.04681515430214
2025-01-26,KXHIGHNY-25JAN26-B25,Below 25F,,25.0,below,0.22321355911604912,0,0.20088239679155648,0.24554472144054176,168,35.19690216687002
2025-01-26,KXHIGHNY-25JAN26-T25to34,25-34F,25.0,35.0,between,0.6752190847031833,0,0.6485390261996029,0.7018991432067636,201,35.19690216687002
2025-01-26,KXHIGHNY-25JAN26-T35to44,35-44F,35.0,45.0,between,0.02,1,0.01,0.04644512981721553,73,35.19690216687002
2025-01-26,KXHIGHNY-25JAN26-T45to54,45-54F,45.0,55.0,between,0.02,0,0.01,0.04736507910923113,53,35.19690216687002
2025-01-26,KXHIGHNY-25JAN26-T55to64,55-64F,55.0,65.0,between,0.1222331601576279,0,0.09464095120969618,0.14982536910555963,67,35.19690216687002
2025-01-26,KXHIGHNY-25JAN26-T65to74,65-74F,65.0,75.0,between,0.02,0,0.01,0.050746986367835284,50,35.19690216687002
2025-01-26,KXHIGHNY-25JAN26-A75,Above 75F,75.0,,above,0.02,0,0.01,0.05237685279727465,43,35.19690216687002
2025-01-27,KXHIGHNY-25JAN27-B25,Below 25F,,25.0,below,0.03720818306117399,0,0.01,0.06849529406114603,48,42.28072605992245
2025-01-27,KXHIGHNY-25JAN27-T25to34,25-34F,25.0,35.0,between,0.04952383097316833,0,0.02278615187168811,0.07626151007464854,74,42.28072605992245
